iter	Passed	Remaining
0	21	6421
1	43	6445
2	64	6353
3	80	5957
4	99	5858
5	116	5710
6	135	5653
7	152	5572
8	172	5588
9	191	5544
10	209	5498
11	226	5431
12	242	5355
13	261	5336
14	279	5307
15	302	5361
16	320	5340
17	338	5302
18	356	5265
19	373	5233
20	390	5182
21	407	5147
22	425	5125
23	445	5123
24	463	5098
25	480	5059
26	496	5020
27	514	4993
28	532	4972
29	550	4953
30	568	4931
31	585	4902
32	604	4887
33	621	4861
34	640	4849
35	658	4831
36	675	4798
37	692	4774
38	709	4747
39	728	4733
40	744	4703
41	761	4680
42	778	4650
43	794	4621
44	811	4598
45	828	4573
46	846	4554
47	864	4538
48	883	4524
49	901	4508
50	919	4487
51	938	4475
52	957	4460
53	977	4452
54	995	4434
55	1013	4414
56	1030	4394
57	1048	4375
58	1067	4359
59	1086	4345
60	1107	4337
61	1125	4322
62	1148	4319
63	1168	4308
64	1187	4294
65	1211	4295
66	1231	4281
67	1253	4275
68	1273	4263
69	1292	4247
70	1312	4232
71	1335	4229
72	1356	4216
73	1374	4199
74	1395	4186
75	1415	4171
76	1437	4163
77	1459	4153
78	1478	4136
79	1498	4120
80	1520	4110
81	1539	4093
82	1558	4073
83	1577	4057
84	1600	4047
85	1620	4032
86	1638	4010
87	1658	3994
88	1677	3976
89	1695	3957
90	1716	3942
91	1737	3928
92	1755	3908
93	1774	3889
94	1794	3872
95	1816	3859
96	1836	3844
97	1855	3824
98	1875	3807
99	1893	3786
100	1913	3770
101	1933	3754
102	1953	3736
103	1972	3716
104	1990	3697
105	2009	3677
106	2031	3664
107	2052	3648
108	2070	3628
109	2088	3607
110	2111	3595
111	2132	3579
112	2152	3562
113	2171	3543
114	2191	3524
115	2209	3504
116	2227	3484
117	2247	3466
118	2266	3446
119	2284	3427
120	2303	3407
121	2320	3385
122	2338	3365
123	2355	3343
124	2375	3325
125	2397	3310
126	2419	3296
127	2438	3276
128	2455	3255
129	2475	3237
130	2494	3218
131	2516	3203
132	2535	3184
133	2553	3162
134	2570	3141
135	2586	3118
136	2605	3099
137	2622	3078
138	2639	3057
139	2661	3041
140	2680	3022
141	2703	3008
142	2725	2992
143	2744	2973
144	2762	2952
145	2779	2931
146	2798	2912
147	2816	2892
148	2834	2872
149	2853	2853
150	2870	2832
151	2889	2812
152	2907	2793
153	2925	2773
154	2946	2756
155	2963	2735
156	2982	2716
157	3000	2696
158	3017	2675
159	3034	2655
160	3051	2634
161	3069	2614
162	3085	2592
163	3104	2574
164	3126	2558
165	3143	2537
166	3161	2518
167	3179	2498
168	3196	2477
169	3214	2458
170	3234	2439
171	3253	2421
172	3272	2402
173	3290	2382
174	3309	2363
175	3326	2343
176	3343	2323
177	3361	2304
178	3380	2285
179	3398	2265
180	3416	2246
181	3434	2226
182	3453	2207
183	3473	2189
184	3492	2171
185	3510	2151
186	3527	2131
187	3545	2112
188	3563	2092
189	3580	2072
190	3598	2053
191	3619	2036
192	3638	2017
193	3658	1998
194	3676	1979
195	3694	1960
196	3712	1940
197	3731	1922
198	3748	1902
199	3765	1882
200	3784	1863
201	3803	1845
202	3822	1826
203	3840	1807
204	3858	1787
205	3877	1769
206	3894	1749
207	3911	1730
208	3928	1710
209	3946	1691
210	3964	1672
211	3981	1652
212	3998	1633
213	4016	1614
214	4035	1595
215	4054	1576
216	4073	1558
217	4092	1539
218	4111	1520
219	4130	1502
220	4149	1483
221	4167	1464
222	4187	1446
223	4207	1427
224	4227	1409
225	4245	1390
226	4263	1371
227	4284	1352
228	4303	1334
229	4321	1315
230	4339	1296
231	4357	1277
232	4374	1258
233	4392	1238
234	4409	1219
235	4427	1200
236	4445	1181
237	4464	1163
238	4483	1144
239	4502	1125
240	4521	1106
241	4540	1088
242	4558	1069
243	4576	1050
244	4595	1031
245	4614	1012
246	4633	994
247	4651	975
248	4670	956
249	4689	937
250	4708	919
251	4726	900
252	4744	881
253	4761	862
254	4779	843
255	4799	824
256	4819	806
257	4838	787
258	4856	768
259	4873	749
260	4892	731
261	4909	711
262	4926	693
263	4943	674
264	4961	655
265	4979	636
266	4997	617
267	5015	598
268	5035	580
269	5054	561
270	5071	542
271	5090	524
272	5113	505
273	5136	487
274	5162	469
275	5181	450
276	5201	431
277	5221	413
278	5241	394
279	5259	375
280	5277	356
281	5296	338
282	5315	319
283	5333	300
284	5352	281
285	5370	262
286	5388	244
287	5409	225
288	5431	206
289	5450	187
290	5467	169
291	5486	150
292	5503	131
293	5520	112
294	5542	93
295	5562	75
296	5581	56
297	5600	37
298	5620	18
299	5639	0
